,HomeTeam,AwayTeam,PRED
0,Arsenal,Liverpool,A
1,Burnley,Wolves,H
2,Chelsea,Norwich,H
3,Crystal Palace,Man United,A
4,Everton,Aston Villa,H
5,Leicester,Sheffield United,H
6,Man City,Bournemouth,H
7,Newcastle,Tottenham,A
8,Southampton,Brighton,A
9,West Ham,Watford,H
