data__id,data__name,data__league_id,data__is_current_season,data__current_round_id,data__current_stage_id,data__fixtures__data__id,data__fixtures__data__league_id,data__fixtures__data__season_id,data__fixtures__data__stage_id,data__fixtures__data__round_id,,,data__fixtures__data__venue_id,data__fixtures__data__referee_id,data__fixtures__data__localteam_id,data__fixtures__data__visitorteam_id,data__fixtures__data__winner_team_id,data__fixtures__data__weather_report,data__fixtures__data__weather_report__code,data__fixtures__data__weather_report__type,data__fixtures__data__weather_report__icon,data__fixtures__data__weather_report__temperature__temp,data__fixtures__data__weather_report__temperature__unit,data__fixtures__data__weather_report__temperature_celcius__temp,data__fixtures__data__weather_report__temperature_celcius__unit,data__fixtures__data__weather_report__clouds,data__fixtures__data__weather_report__humidity,data__fixtures__data__weather_report__pressure,data__fixtures__data__weather_report__wind__speed,data__fixtures__data__weather_report__wind__degree,data__fixtures__data__weather_report__coordinates__lat,data__fixtures__data__weather_report__coordinates__lon,data__fixtures__data__weather_report__updated_at,data__fixtures__data__commentaries,data__fixtures__data__attendance,data__fixtures__data__pitch,data__fixtures__data__details,data__fixtures__data__neutral_venue,data__fixtures__data__winning_odds_calculated,data__fixtures__data__formations__localteam_formation,data__fixtures__data__formations__visitorteam_formation,data__fixtures__data__scores__localteam_score,data__fixtures__data__scores__visitorteam_score,data__fixtures__data__scores__localteam_pen_score,data__fixtures__data__scores__visitorteam_pen_score,data__fixtures__data__scores__ht_score,data__fixtures__data__scores__ft_score,data__fixtures__data__scores__et_score,data__fixtures__data__scores__ps_score,data__fixtures__data__time__status,data__fixtures__data__time__starting_at__date_time,data__fixtures__data__time__starting_at__date,data__fixtures__data__time__starting_at__time,data__fixtures__data__time__starting_at__timestamp,data__fixtures__data__time__starting_at__timezone,data__fixtures__data__time__minute,data__fixtures__data__time__second,data__fixtures__data__time__added_time,data__fixtures__data__time__extra_minute,data__fixtures__data__time__injury_time,data__fixtures__data__coaches__localteam_coach_id,data__fixtures__data__coaches__visitorteam_coach_id,data__fixtures__data__standings__localteam_position,data__fixtures__data__standings__visitorteam_position,data__fixtures__data__assistants__first_assistant_id,data__fixtures__data__assistants__second_assistant_id,data__fixtures__data__assistants__fourth_official_id,data__fixtures__data__leg,data__fixtures__data__colors,data__fixtures__data__colors__|,data__fixtures__data__colors__|__color,data__fixtures__data__colors__|__kit_colors,data__fixtures__data__deleted,,
,,,,,,11867231,8,16036,77443862,169652,,,117,14533,42,29,null,,rain,shower rain,https://cdn.sportmonks.com/images/weather/09d.png,65.17,fahrenheit,18.4,celcius,40%,72%,1008,16.11 m/s,270,52.64,-1.13,2019-08-11T14:45:03.939574Z,TRUE,32015,null,null,FALSE,TRUE,4-1-4-1,03/05/2002,0,0,null,null,0-0,0-0,null,null,FT,11/08/2019 13:00,11/08/2019,13:00:00,1565528400,UTC,90,null,null,null,null,896460,455991,12,15,12085,12712,14661,01-Jan,,localteam,#1E48C0,"#0046A8,#0046A8,#0046A8,#0046A8,#5C8FAE,#FFDF1B,#0046A8",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#FDBD0F,"#FDBD0F,#FDBD0F,#FDBD0F,#FDBD0F,#FDBD0F,#FFDF1B,#0A0A0A",,,
,,,,,,11867232,8,16036,77443862,169652,,,149,15293,25,78,78,,rain,light rain,https://cdn.sportmonks.com/images/weather/10d.png,68.68,fahrenheit,20.4,celcius,75%,60%,1006,23.04 m/s,240,51.66,-0.4,2019-08-10T15:45:03.853979Z,TRUE,20245,null,null,FALSE,TRUE,4-2-2-2,05/04/2001,0,3,null,null,0-1,0-3,null,null,FT,10/08/2019 14:00,10/08/2019,14:00:00,1565445600,UTC,90,null,null,null,null,523894,452683,17,5,12090,12799,14375,01-Jan,,localteam,#FBED32,"#FBED32,#0A0A0A,#FFDF1B,#FFDF1B,#5C8FAE,#FFDF1B,#0A0A0A",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#002B87,"#002B87,#F0F0F0,#5B0623,#0A0A0A,#5C8FAE,#FFDF1B,#002B87",,,
,,,,,,11867233,8,16036,77443862,169652,,,281313,14808,6,15,6,,rain,shower rain,https://cdn.sportmonks.com/images/weather/09d.png,65.89,fahrenheit,18.8,celcius,70%,64%,1008,20.8 m/s,220,51.51,-0.13,2019-08-10T18:15:03.197779Z,TRUE,60407,null,null,FALSE,TRUE,4-3-1-2,4-1-4-1,3,1,null,null,0-1,03-Jan,null,null,FT,10/08/2019 16:30,10/08/2019,16:30:00,1565454600,UTC,90,null,null,null,null,455358,524237,16,4,13551,17242,14813,01-Jan,,localteam,#F0F0F0,"#F0F0F0,#F0F0F0,#F0F0F0,#F0F0F0,#EEEEEE,#EEEEEE,#022857",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#940014,"#79ADE2,#832034,#832034,#832034,#0A0A0A,#888888,#F0F0F0",,,
,,,,,,11867234,8,16036,77443862,169652,,,449,15269,20,19,19,,drizzle,light intensity drizzle rain,https://cdn.sportmonks.com/images/weather/09d.png,58.96,fahrenheit,15,celcius,75%,100%,1006,6.93 m/s,20,54.98,-1.61,2019-08-11T14:45:04.016015Z,TRUE,47635,null,null,FALSE,TRUE,03/05/2002,4-2-3-1,0,1,null,null,0-0,0-1,null,null,FT,11/08/2019 13:00,11/08/2019,13:00:00,1565528400,UTC,90,null,null,null,null,455377,455907,14,10,12026,12083,14812,01-Jan,,localteam,#0A0A0A,"#0A0A0A,#F0F0F0,#BBBBBB,#AAAAAA,#999999,#888888,#191911",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#FFDF1B,"#FFDF1B,#FFDF1B,#FFDF1B,#FFDF1B,#C40010,#0046A8,#022857",,,
,,,,,,11867235,8,16036,77443862,169652,,,206,14532,14,18,14,,rain,light intensity shower rain,https://cdn.sportmonks.com/images/weather/09d.png,59.18,fahrenheit,15.1,celcius,90%,72%,1010,11.41 m/s,270,53.48,-2.24,2019-08-11T17:15:04.737716Z,TRUE,73620,null,null,FALSE,TRUE,4-2-3-1,4-2-3-1,4,0,null,null,1-0,4-0,null,null,FT,11/08/2019 15:30,11/08/2019,15:30:00,1565537400,UTC,90,null,null,null,null,524307,95,13,11,12794,12798,15270,01-Jan,,localteam,#D50619,"#C40010,#C40010,#C40010,#C40010,#A70000,#A70000,#F0F0F0",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#1544B8,"#1544B8,#1544B8,#183690,#183690,#183690,#183690,#1544B8",,,
